Stellar Spectroscopy - BD+00 4814	
	
Date of Observation:	8/3/2010
Star Observed:	BD+00 4814
Spectral Class:	M0
	
Wavelength (A)	Intensity (Counts)
6200.4	3500.153564
6201.2	3599.052002
6202	3725.059082
6202.8	3858.702637
6203.6	3964.33252
6204.4	4065.413574
6205.2	3992.884277
6206	3910.002197
6206.8	3919.955811
6207.6	4065.0625
6208.4	4156.151855
6209.2	4116.939941
6210	4078.318359
6210.8	4008.650879
6211.6	3807.13501
6212.4	3790.51416
6213.2	3816.978271
6214	3601.60083
6214.8	3352.166016
6215.6	3301.709717
6216.4	3094.390869
6217.2	3059.490967
6218	3387.810059
6218.8	3500.06665
6219.6	3475.318604
6220.4	3465.908447
6221.2	3536.268555
6222	3531.428711
6222.8	3547.806152
6223.6	3227.709717
6224.4	3007.11377
6225.2	2995.015625
6226	3138.779297
6226.8	3239.533203
6227.6	3328.970459
6228.4	3453.833252
6229.2	3484.015869
6230	3395.966309
6230.8	3220.94165
6231.6	3004.753174
6232.4	3103.623779
6233.2	3282.739502
6234	3419.622803
6234.8	3521.754883
6235.6	3672.613525
6236.4	3767.30957
6237.2	3641.837158
6238	3648.136719
6238.8	3693.366699
6239.6	3395.515625
6240.4	3132.084229
6241.2	3184.506348
6242	3507.182617
6242.8	3598.790771
6243.6	3195.639648
6244.4	3097.841064
6245.2	3501.742188
6246	3586.699463
6246.8	3598.616699
6247.6	3795.659424
6248.4	3910.846191
6249.2	3921.130615
6250	3824.770996
6250.8	3827.235596
6251.6	3902.176025
6252.4	3776.330078
6253.2	3657.796875
6254	3761.293701
6254.8	3843.93335
6255.6	3911.29541
6256.4	4001.264404
6257.2	3710.163086
6258	3470.576416
6258.8	3167.960938
6259.6	3097.690674
6260.4	3603.188965
6261.2	3867.862061
6262	3775.934326
6262.8	3979.798096
6263.6	4205.258301
6264.4	4547.672852
6265.2	4358.978516
6266	4040.480957
6266.8	4016.247803
6267.6	4185.885742
6268.4	4129.214844
6269.2	3832.00708
6270	3758.247314
6270.8	4033.57666
6271.6	4222.126465
6272.4	4353.690918
6273.2	4338.43457
6274	4384.022461
6274.8	4185.166504
6275.6	4035.156738
6276.4	4003.299561
6277.2	3964.23999
6278	3993.835938
6278.8	3934.924805
6279.6	4165.099609
6280.4	4091.848145
6281.2	3876.068115
6282	4014.550537
6282.8	4163.805664
6283.6	4086.115234
6284.4	4341.837402
6285.2	4444.696777
6286	4311.511719
6286.8	4467.987793
6287.6	4714.018555
6288.4	4690.022949
6289.2	4755.647949
6290	4907.587402
6290.8	4765.256836
6291.6	4640.680664
6292.4	4634.870605
6293.2	4390.706543
6294	4396.511719
6294.8	4695.16748
6295.6	4555.274902
6296.4	4383.862305
6297.2	4094.694336
6298	4093.632568
6298.8	4471.630371
6299.6	4696.374023
6300.4	4952.429688
6301.2	4819.309082
6302	4779.554688
6302.8	4764.521973
6303.6	4719.14209
6304.4	4695.896973
6305.2	4769.683594
6306	4526.796387
6306.8	4407.884277
6307.6	4877.470703
6308.4	5315.317383
6309.2	5234.941406
6310	5301.42627
6310.8	5205.347656
6311.6	4992.257812
6312.4	4854.56543
6313.2	5170.188477
6314	5286.568848
6314.8	5167.082031
6315.6	5019.25
6316.4	5097.546387
6317.2	5198.876953
6318	5232.810059
6318.8	5014.51416
6319.6	4904.26416
6320.4	5165.890625
6321.2	5300.618164
6322	5299.571289
6322.8	5229.460938
6323.6	5113.41748
6324.4	5324.072266
6325.2	5237.994629
6326	5187.448242
6326.8	5231.721191
6327.6	5201.114746
6328.4	5337.702637
6329.2	5656.973633
6330	5582.450195
6330.8	5341.238281
6331.6	5359.399902
6332.4	5904.001465
6333.2	5832.605469
6334	5865.229004
6334.8	5755.897461
6335.6	5498.932617
6336.4	5105.714355
6337.2	5092.756348
6338	5588.208496
6338.8	5747.85791
6339.6	5717.016602
6340.4	5662.175781
6341.2	5948.360352
6342	6196.045898
6342.8	5791.373047
6343.6	5832.837402
6344.4	5469.090332
6345.2	5289.20166
6346	5349.285645
6346.8	5604.286133
6347.6	5802.471191
6348.4	5891.507324
6349.2	5925.652344
6350	5879.797852
6350.8	5876.248535
6351.6	5830.206055
6352.4	5903.375
6353.2	5803.676758
6354	5755.775391
6354.8	5598.45166
6355.6	5344.743164
6356.4	5432.006348
6357.2	5707.329102
6358	5395.138672
6358.8	5079.439453
6359.6	4873.137207
6360.4	4889.151855
6361.2	5021.570801
6362	5053.533691
6362.8	5110.06543
6363.6	5044.609863
6364.4	5219.297363
6365.2	5366.881836
6366	5501.724121
6366.8	5498.399902
6367.6	5564.649902
6368.4	5989.19043
6369.2	6263.088867
6370	6259.165039
6370.8	6038.92041
6371.6	6097.768066
6372.4	6028.649902
6373.2	6268.533691
6374	6481.933105
6374.8	6254.03125
6375.6	6255.147461
6376.4	6274.976562
6377.2	6332.301758
6378	6373.190918
6378.8	6130.143066
6379.6	5765.320312
6380.4	5856.268066
6381.2	6026.688477
6382	6073.181641
6382.8	6245.038574
6383.6	6468.368164
6384.4	6405.915039
6385.2	6140.599121
6386	6110.50293
6386.8	6391.541504
6387.6	6367.700684
6388.4	6296.067871
6389.2	6272.797363
6390	6247.023926
6390.8	6253.665039
6391.6	6363.736328
6392.4	6374.615234
6393.2	6081.069824
6394	5697.20459
6394.8	5824.825684
6395.6	6105.035156
6396.4	6458.27832
6397.2	6580.947754
6398	6634.105957
6398.8	6564.187012
6399.6	6637.812988
6400.4	5928.834473
6401.2	5563.580078
6402	6101.784668
6402.8	6551.903809
6403.6	6749.739258
6404.4	6811.352051
6405.2	6801.300781
6406	6655.702148
6406.8	6669.957031
6407.6	6552.250488
6408.4	6429.747559
6409.2	6404.595215
6410	6742.078125
6410.8	7047.541992
6411.6	6696.0625
6412.4	6467.599609
6413.2	6227.814941
6414	6174.828125
6414.8	6257.855469
6415.6	6348.528809
6416.4	6566.659668
6417.2	6771.339355
6418	6733.461914
6418.8	6496.659668
6419.6	6382.56543
6420.4	6167.863281
6421.2	5939.258301
6422	5781.331543
6422.8	6042.115723
6423.6	6666.238281
6424.4	6731.557129
6425.2	6501.744141
6426	6430.293457
6426.8	6552.086426
6427.6	6691.845215
6428.4	6774.717285
6429.2	6716.58252
6430	6486.371582
6430.8	5982.387695
6431.6	5735.910156
6432.4	5898.018555
6433.2	6366.588867
6434	6627.301758
6434.8	6757.006348
6435.6	6513.52832
6436.4	6539.228516
6437.2	6772.322266
6438	6950.811035
6438.8	6614.174316
6439.6	6111.00293
6440.4	6276.762207
6441.2	6859.682617
6442	7133.828613
6442.8	7128.320312
6443.6	7120.114746
6444.4	7051.87207
6445.2	7002.015137
6446	7063.543945
6446.8	7237.256836
6447.6	7082.07959
6448.4	6813.719727
6449.2	6363.370605
6450	5744.354004
6450.8	5405.094238
6451.6	5788.307129
6452.4	6257.43457
6453.2	6479.98877
6454	6782.158203
6454.8	7056.504883
6455.6	6847.530762
6456.4	6531.466309
6457.2	6765.186035
6458	7069.062988
6458.8	7140.115234
6459.6	7182.640625
6460.4	7208.541992
6461.2	7357.128418
6462	7245.282715
6462.8	6453.574707
6463.6	6083.967773
6464.4	6745.068359
6465.2	7188.04248
6466	7230.520508
6466.8	7432.416016
6467.6	7431.454102
6468.4	7556.075684
6469.2	7629.949707
6470	7383.928711
6470.8	7192.715332
6471.6	7215.543945
6472.4	7002.633301
6473.2	7204.297363
6474	6969.793945
6474.8	6671.494629
6475.6	6336.089844
6476.4	6402.000977
6477.2	6976.68457
6478	7331.26123
6478.8	7108.036133
6479.6	6933.738281
6480.4	6914.675781
6481.2	6855.71582
6482	6634.487793
6482.8	6280.208008
6483.6	6177.633789
6484.4	6215.199219
6485.2	6383.83252
6486	6578.94873
6486.8	6579.405273
6487.6	6710.001465
6488.4	6856.271484
6489.2	6805.587891
6490	6707.156738
6490.8	6311.890625
6491.6	6231.938965
6492.4	6523.996582
6493.2	6576.652344
6494	6302.777832
6494.8	5796.065918
6495.6	5483.425781
6496.4	5729.101074
6497.2	5638.726074
6498	5793.162598
6498.8	6142.875488
6499.6	5984.01416
6500.4	6209.204102
6501.2	6544.710449
6502	6565.580566
6502.8	6724.314453
6503.6	6809.158691
6504.4	6645.687012
6505.2	6647.858887
6506	6824.568359
6506.8	6980.863281
6507.6	6830.72998
6508.4	6730.196777
6509.2	6472.529785
6510	6604.217773
6510.8	7085.133301
6511.6	7198.549805
6512.4	7099.515625
6513.2	7048.709961
6514	7015.453613
6514.8	6898.713867
6515.6	6857.606934
6516.4	6767.53125
6517.2	6770.225586
6518	6629.631348
6518.8	6666.311523
6519.6	6603.690918
6520.4	7058.45166
6521.2	7262.010254
