Stellar Spectroscopy - BD-03 4630	
	
Date of Observation:	7/27/2010
Star Observed:	BD-03 4630
Spectral Class:	A4
	
Wavelength (A)	Intensity (Counts)
6200.4	2846.81543
6201.2	2736.80957
6202	2760.841064
6202.8	2830.153809
6203.6	2780.341553
6204.4	2736.531006
6205.2	2904.443359
6206	2922.825439
6206.8	2815.896973
6207.6	2861.143799
6208.4	2853.017822
6209.2	2893.05127
6210	2925.228516
6210.8	2890.061279
6211.6	2819.517334
6212.4	2994.130127
6213.2	2993.7854
6214	2958.013916
6214.8	2982.255859
6215.6	2915.544678
6216.4	2997.823242
6217.2	2918.869629
6218	2971.422852
6218.8	2918.202148
6219.6	2892.078125
6220.4	2925.547363
6221.2	2946.801025
6222	2946.974609
6222.8	2958.871094
6223.6	2998.233398
6224.4	2924.411377
6225.2	2888.298584
6226	2990.541016
6226.8	2891.240967
6227.6	2891.791992
6228.4	2919.457031
6229.2	2911.181396
6230	2892.290771
6230.8	2859.392578
6231.6	2889.436768
6232.4	2926.859619
6233.2	2974.478516
6234	2958.61792
6234.8	2882.618164
6235.6	2876.623291
6236.4	2869.494385
6237.2	2861.081543
6238	2865.886963
6238.8	2879.720459
6239.6	2860.080078
6240.4	2845.718262
6241.2	2872.850342
6242	2885.662842
6242.8	2851.145996
6243.6	2849.058838
6244.4	2946.791992
6245.2	2864.68457
6246	2866.142578
6246.8	2868.086182
6247.6	2893.600342
6248.4	2838.400391
6249.2	2931.460938
6250	2869.346924
6250.8	2886.564697
6251.6	2958.352295
6252.4	2930.019531
6253.2	2917.565674
6254	2920.846436
6254.8	2898.343018
6255.6	2921.243164
6256.4	2881.392822
6257.2	3010.857178
6258	2998.599609
6258.8	2964.501953
6259.6	2947.916016
6260.4	2964.448242
6261.2	2934.911133
6262	2922.588135
6262.8	2853.654541
6263.6	2954.380127
6264.4	2931.719482
6265.2	2930.049561
6266	2896.890625
6266.8	2882.883789
6267.6	2939.523926
6268.4	2895.731201
6269.2	2859.50708
6270	2799.739746
6270.8	2853.190674
6271.6	2892.214355
6272.4	2898.397705
6273.2	2944.939941
6274	2924.32959
6274.8	2928.80127
6275.6	2929.574951
6276.4	2842.224609
6277.2	2651.500244
6278	2644.353271
6278.8	2619.953613
6279.6	2707.766846
6280.4	2680.081543
6281.2	2709.569092
6282	2737.910889
6282.8	2625.549316
6283.6	2562.073975
6284.4	2597.546631
6285.2	2647.411377
6286	2788.536621
6286.8	2906.672852
6287.6	2920.608154
6288.4	2825.147217
6289.2	2757.558838
6290	2746.994629
6290.8	2841.720215
6291.6	2846.341064
6292.4	2816.847168
6293.2	2902.966064
6294	2957.775391
6294.8	2915.305664
6295.6	2807.299072
6296.4	2917.579834
6297.2	2952.583252
6298	2936.308838
6298.8	2793.371094
6299.6	2812.600342
6300.4	2809.791504
6301.2	2941.810059
6302	2868.86084
6302.8	2867.905762
6303.6	2838.992188
6304.4	2901.523926
6305.2	2977.619141
6306	2850.030273
6306.8	2878.750488
6307.6	2893.338135
6308.4	2821.846436
6309.2	2907.970459
6310	2926.684082
6310.8	2806.094971
6311.6	2858.435547
6312.4	2865.034668
6313.2	2957.8125
6314	2942.504395
6314.8	2902.804932
6315.6	2867.126221
6316.4	2832.301514
6317.2	2902.189453
6318	2924.057861
6318.8	2880.826172
6319.6	2875.023193
6320.4	2865.161621
6321.2	2937.375488
6322	2836.769287
6322.8	2913.494385
6323.6	2982.379395
6324.4	3000.356934
6325.2	2938.690674
6326	2905.688965
6326.8	2900.194824
6327.6	2944.50708
6328.4	2890.211914
6329.2	2911.562012
6330	2882.119385
6330.8	2907.761963
6331.6	2991.199463
6332.4	2926.278564
6333.2	2993.906738
6334	3002.804443
6334.8	2956.546631
6335.6	2948.636719
6336.4	2961.298828
6337.2	2987.700928
6338	2953.143066
6338.8	3019.885986
6339.6	3029.302979
6340.4	2915.204102
6341.2	2941.42749
6342	3014.556885
6342.8	2826.603516
6343.6	2874.215088
6344.4	2885.348389
6345.2	2911.210938
6346	2879.589355
6346.8	2893.206787
6347.6	2789.633789
6348.4	2877.904785
6349.2	2906.929932
6350	2944.124023
6350.8	3038.351318
6351.6	2942.047607
6352.4	2933.458252
6353.2	2890.502686
6354	2953.823242
6354.8	2930.166504
6355.6	2893.464844
6356.4	2944.385254
6357.2	2912.939941
6358	2960.389893
6358.8	2974.182129
6359.6	2981.708496
6360.4	2927.265381
6361.2	2942.136963
6362	2952.012695
6362.8	2910.672852
6363.6	2987.851074
6364.4	2996.761963
6365.2	2987.62793
6366	3065.976318
6366.8	2909.119141
6367.6	2922.946045
6368.4	2986.945801
6369.2	2949.68457
6370	2981.748779
6370.8	2896.48291
6371.6	2938.078125
6372.4	2985.025879
6373.2	2981.490234
6374	2901.599365
6374.8	2975.635986
6375.6	2995.982422
6376.4	2960.198242
6377.2	2965.433594
6378	3000.347168
6378.8	3015.944336
6379.6	2884.451416
6380.4	2929.502197
6381.2	3070.45752
6382	2998.873047
6382.8	2954.030518
