Stellar Spectroscopy - BD+36-4307	
	
Date of Observation:	7/23/2010
Star Observed:	BD+36 4307
Spectral Class:	K0
	
Wavelength (A)	Intensity (Counts)
6200.4	5742.51
6201.2	6116.52
6202	6676.47
6202.8	6866.03
6203.6	6856.17
6204.4	6845.31
6205.2	6517.28
6206	6610.18
6206.8	6784
6207.6	7017.71
6208.4	7011.75
6209.2	6993.17
6210	6877.99
6210.8	6615.36
6211.6	6733.75
6212.4	6779.92
6213.2	6509.96
6214	5840.22
6214.8	5824.64
6215.6	5907.44
6216.4	5890.31
6217.2	6180.39
6218	6650
6218.8	6679.06
6219.6	6208.04
6220.4	6239.41
6221.2	5980.91
6222	6141.03
6222.8	6734.65
6223.6	6829.28
6224.4	6339.77
6225.2	6147.53
6226	6739.91
6226.8	6872.05
6227.6	6645.83
6228.4	6679.09
6229.2	6683.36
6230	6257.5
6230.8	5639.62
6231.6	5314.93
6232.4	6248.16
6233.2	6032.34
6234	6261.91
6234.8	6983
6235.6	6996.83
6236.4	6985.93
6237.2	6959.59
6238	6699.03
6238.8	6585.22
6239.6	6709.8
6240.4	6020.27
6241.2	5945.22
6242	6849.92
6242.8	6632.34
6243.6	5608.95
6244.4	5805.55
6245.2	6366.28
6246	6226.85
6246.8	6021.12
6247.6	6574.12
6248.4	6915.32
6249.2	6971.7
6250	6683.89
6250.8	6698.7
6251.6	6747.47
6252.4	6055.75
6253.2	5768.52
6254	6169.91
6254.8	5836.58
6255.6	6269.28
6256.4	6146.41
6257.2	5670.83
6258	5900.1
6258.8	5396.71
6259.6	5400.18
6260.4	6432.17
6261.2	6515.32
6262	6229.64
6262.8	6753.78
6263.6	7124.34
6264.4	7155.44
6265.2	6529.35
6266	6038.36
6266.8	6323
6267.6	6818.25
6268.4	6772.45
6269.2	6501.71
6270	6570.31
6270.8	6667.27
6271.6	6619.04
6272.4	6659.03
6273.2	6814.77
6274	6909.58
6274.8	6734.58
6275.6	6604.02
6276.4	6869.81
6277.2	6563.87
6278	6240.03
6278.8	6512.22
6279.6	6667.78
6280.4	6291.8
6281.2	5915.05
6282	6351.92
6282.8	6322.84
6283.6	6410.01
6284.4	6933.85
6285.2	6772.64
6286	6490.43
6286.8	6813.45
6287.6	6850.65
6288.4	7039.8
6289.2	7224.57
6290	7107.99
6290.8	6814.19
6291.6	6538.45
6292.4	6731.67
6293.2	6621.47
6294	6408.7
6294.8	7099.55
6295.6	7171.36
6296.4	6654.06
6297.2	6145.55
6298	6199.82
6298.8	6318.99
6299.6	6628.62
6300.4	6791.91
6301.2	6709
6302	6384.02
6302.8	6290
6303.6	6717.82
6304.4	6698.13
6305.2	6826.42
6306	6454.8
6306.8	6243.79
6307.6	6996.41
6308.4	7058.44
6309.2	7234.98
6310	7055.5
6310.8	6752.67
6311.6	6606.92
6312.4	6483.09
6313.2	6646.67
6314	7163.56
6314.8	6786.74
6315.6	6047.85
6316.4	6065.78
6317.2	6860.08
6318	6499.33
6318.8	5778.73
6319.6	5921.08
6320.4	6471.92
6321.2	6767.23
6322	6983.4
6322.8	6529.23
6323.6	6511.96
6324.4	7147.01
6325.2	6894.44
6326	6918.59
6326.8	7196.65
6327.6	6825.59
6328.4	6607.23
6329.2	7258.53
6330	7253.18
6330.8	6701.98
6331.6	6958.67
6332.4	6931.17
6333.2	7074.22
6334	7222.96
6334.8	7116.84
6335.6	6367.36
6336.4	6065.53
6337.2	6245
6338	6855.65
6338.8	7096.93
6339.6	6482.34
6340.4	6695.07
6341.2	7077.77
6342	7066.49
6342.8	6635.85
6343.6	6696.38
6344.4	6143.2
6345.2	6298.34
6346	6888.35
6346.8	6985.16
6347.6	6868.7
6348.4	6871.48
6349.2	7178.76
6350	6967.84
6350.8	7021.65
6351.6	6932.77
6352.4	7189.29
6353.2	7202.69
6354	7051.31
6354.8	6879.67
6355.6	6237.95
6356.4	6640.81
6357.2	7013.11
6358	6955.3
6358.8	6457.93
6359.6	6105.96
6360.4	6364.04
6361.2	6350.22
6362	6176.58
6362.8	6025.55
6363.6	6007.88
6364.4	6389.23
6365.2	6298.56
6366	6744.84
6366.8	6590.34
6367.6	6750.71
6368.4	7082.14
6369.2	7163.15
6370	7037.46
6370.8	7039.49
6371.6	6929.41
6372.4	7195.97
6373.2	7625.77
6374	7473.54
6374.8	7203.73
6375.6	7046.42
6376.4	7094.71
6377.2	7459.34
6378	7327.15
6378.8	6961.14
6379.6	6878.42
6380.4	7164.95
6381.2	6941.44
6382	6940.31
6382.8	7261.58
6383.6	7243.35
6384.4	7132.42
6385.2	6996.87
