Steller Spectroscopy HD 200207	
	
Date of Observation:	7/23/2010
Star Observed:	HD 200207
Spectral Class:	G5
	
Wavelength (A)	Intensity (Counts)
6200.4	13654.23
6201.2	14272.89
6202	15202.08
6202.8	15394.79
6203.6	15202.97
6204.4	15039.65
6205.2	14714.85
6206	15160.13
6206.8	15198.14
6207.6	15473.72
6208.4	15618.22
6209.2	15635.58
6210	15403.82
6210.8	15128.28
6211.6	15774.14
6212.4	15167.64
6213.2	14303.3
6214	13602.58
6214.8	14279.19
6215.6	13911.64
6216.4	13940.76
6217.2	14966.54
6218	15235.51
6218.8	14725.69
6219.6	13927.54
6220.4	14350.08
6221.2	14251.14
6222	14537.3
6222.8	15487.32
6223.6	15272.8
6224.4	14451.86
6225.2	14973.28
6226	15339.85
6226.8	15164.18
6227.6	14948.59
6228.4	15110.49
6229.2	14791.78
6230	14015.48
6230.8	13026.93
6231.6	13780.42
6232.4	14498.48
6233.2	13967.32
6234	15018.47
6234.8	15540.5
6235.6	15610.11
6236.4	15495.7
6237.2	15148.52
6238	14795.24
6238.8	14797.85
6239.6	14956.23
6240.4	14327.85
6241.2	14528.66
6242	15621.15
6242.8	14619.99
6243.6	13476.36
6244.4	14059.95
6245.2	14695.3
6246	14086.45
6246.8	14088.54
6247.6	15032.88
6248.4	15586.96
6249.2	15580.1
6250	15208.7
6250.8	15548.76
6251.6	15035.72
6252.4	13755.55
6253.2	13935.24
6254	14196.55
6254.8	13696.65
6255.6	14709.27
6256.4	13816.74
6257.2	14170.1
6258	14306.51
6258.8	13395.52
6259.6	14453.14
6260.4	15279.61
6261.2	14707.97
6262	14846.47
6262.8	15444.44
6263.6	15929.68
6264.4	15765.03
6265.2	14586.36
6266	14449.77
6266.8	15452.11
6267.6	15602.52
6268.4	15385.94
6269.2	15403.48
6270	15026.91
6270.8	14772.55
6271.6	15061.29
6272.4	15262.23
6273.2	15576.71
6274	15958.71
6274.8	15240.36
6275.6	15387.6
6276.4	15524.43
6277.2	14910.42
6278	14392.08
6278.8	14655.76
6279.6	14468.87
6280.4	13890.3
6281.2	14130.14
6282	14883.99
6282.8	14350.77
6283.6	14977.46
6284.4	15538.35
6285.2	15017.32
6286	14908.37
6286.8	15278.31
6287.6	15490.96
6288.4	16004.29
6289.2	15787.74
6290	15441.32
6290.8	15018.48
6291.6	14877.15
6292.4	15269.91
6293.2	15110.18
6294	15031.62
6294.8	15883.77
6295.6	15847.25
6296.4	14861
6297.2	14606.48
6298	14388.69
6298.8	14905.88
6299.6	15260.29
6300.4	15220.92
6301.2	14838.47
6302	13858.02
6302.8	14054.49
6303.6	15119.84
6304.4	15642.62
6305.2	15553.37
6306	15290.59
6306.8	15254.12
6307.6	15699.77
6308.4	15768.32
6309.2	15994.77
6310	15706.15
6310.8	15283.36
6311.6	14723.58
6312.4	14965.09
6313.2	15732.12
6314	15985.27
6314.8	14687.26
6315.6	13658.76
6316.4	14371.11
6317.2	15366.18
6318	14365.61
6318.8	13874.46
6319.6	14317.92
6320.4	15074.64
6321.2	15341.94
6322	15480.87
6322.8	14577.79
6323.6	15131.15
6324.4	15900.31
6325.2	15694.35
6326	16023.21
6326.8	15884.28
6327.6	15380.51
6328.4	15420.97
6329.2	16240.41
6330	15616.98
6330.8	15147.22
6331.6	15712.26
6332.4	15909.74
6333.2	15984.71
6334	16304.53
6334.8	15697.31
6335.6	14501.12
6336.4	14400.52
6337.2	14746.84
6338	15732.26
6338.8	15521.17
6339.6	15192.09
6340.4	15568.02
6341.2	16062.42
6342	15824.5
6342.8	15270.79
6343.6	14971.36
6344.4	14395.44
6345.2	15151.63
6346	15656.55
6346.8	15754.01
6347.6	15415.76
6348.4	16053.71
6349.2	16314.02
6350	16228.07
6350.8	16038.01
6351.6	16046.8
6352.4	16250.29
6353.2	16008.41
6354	15998.8
6354.8	15315.59
6355.6	14550.78
6356.4	15665.15
6357.2	15933.53
6358	15610.03
6358.8	14510.25
6359.6	14641.54
6360.4	15136.88
6361.2	14659.97
6362	14658.02
6362.8	14198.72
6363.6	14799.71
6364.4	14958.47
6365.2	15023.43
6366	15778.57
6366.8	15421
6367.6	16057.43
6368.4	16222.81
6369.2	16214.68
6370	15710.1
6370.8	15784.19
6371.6	15934.8
6372.4	16315.3
6373.2	16717.11
6374	16611.13
6374.8	16294.47
6375.6	16095.83
6376.4	16245.54
6377.2	16478.9
6378	16016.43
6378.8	15721.64
6379.6	16164.3
6380.4	16089.01
6381.2	15545.2
6382	16144.52
6382.8	16245.67
6383.6	16316.2
6384.4	16047.5
