Stellar Spectroscopy - HD 350350	
	
Date of Observation:	7/23/2010
Star Observed:	HD 350350
Spectral Class:	F1
	
Wavelength (A)	Intensity (Counts)
6200.4	1768.255005
6201.2	1820.057739
6202	1801.481812
6202.8	1805.164185
6203.6	1841.935791
6204.4	1820.687988
6205.2	1786.77002
6206	1844.991821
6206.8	1860.421753
6207.6	1837.747192
6208.4	1846.10144
6209.2	1778.521484
6210	1845.973755
6210.8	1835.077393
6211.6	1928.065796
6212.4	1866.946411
6213.2	1875.180298
6214	1802.092896
6214.8	1861.130981
6215.6	1934.186279
6216.4	1953.123169
6217.2	1828.92334
6218	1834.433228
6218.8	1788.151855
6219.6	1869.27832
6220.4	1842.452637
6221.2	1802.876587
6222	1844.436157
6222.8	1841.234741
6223.6	1863.064331
6224.4	1848.768677
6225.2	1875.253662
6226	1901.779907
6226.8	1895.94043
6227.6	1822.5625
6228.4	1795.292603
6229.2	1814.708008
6230	1852.329224
6230.8	1865.520386
6231.6	1775.454834
6232.4	1823.027344
6233.2	1844.224976
6234	1793.313354
6234.8	1898.328125
6235.6	1892.361938
6236.4	1846.685059
6237.2	1885.612183
6238	1876.640503
6238.8	1885.037598
6239.6	1824.604858
6240.4	1847.06189
6241.2	1848.291016
6242	1791.208496
6242.8	1878.799316
6243.6	1859.949219
6244.4	1858.358643
6245.2	1834.555176
6246	1781.769653
6246.8	1795.919434
6247.6	1781.956299
6248.4	1853.085571
6249.2	1769.407593
6250	1922.354004
6250.8	1821.461426
6251.6	1825.936157
6252.4	1862.890869
6253.2	1845.389282
6254	1805.40332
6254.8	1832.281006
6255.6	1795.265747
6256.4	1854.093994
6257.2	1906.78894
6258	1898.390747
6258.8	1881.866699
6259.6	1836.786011
6260.4	1870.88855
6261.2	1798.618408
6262	1814.572021
6262.8	1890.805054
6263.6	1837.042114
6264.4	1897.327637
6265.2	1852.742065
6266	1867.578979
6266.8	1877.811523
6267.6	1860.12854
6268.4	1920.423706
6269.2	1964.745361
6270	1903.629883
6270.8	1817.615723
6271.6	1842.411621
6272.4	1841.071045
6273.2	1891.163208
6274	1860.726685
6274.8	1839.788208
6275.6	1838.870605
6276.4	1837.767456
6277.2	1713.411865
6278	1727.888916
6278.8	1712.81543
6279.6	1735.340942
6280.4	1733.797852
6281.2	1767.946777
6282	1720.350586
6282.8	1806.214722
6283.6	1865.6521
6284.4	1828.356689
6285.2	1877.806274
6286	1841.946777
6286.8	1813.852539
6287.6	1862.168457
6288.4	1865.236572
6289.2	1875.335083
6290	1804.696899
6290.8	1819.097412
6291.6	1821.101318
6292.4	1805.613037
6293.2	1821.411987
6294	1829.466797
6294.8	1865.699829
6295.6	1875.394897
6296.4	1842.929565
6297.2	1874.741699
6298	1879.111328
6298.8	1887.629028
6299.6	1867.868774
6300.4	1896.724243
6301.2	1889.843018
6302	1766.824463
6302.8	1793.070435
6303.6	1846.650635
6304.4	1876.823853
6305.2	1844.278687
6306	1901.394531
6306.8	1832.194458
6307.6	1830.429321
6308.4	1838.021729
6309.2	1833.531372
6310	1856.039551
6310.8	1821.234863
6311.6	1857.031738
6312.4	1868.00769
6313.2	1855.154663
6314	1858.197632
6314.8	1783.922974
6315.6	1794.417603
6316.4	1902.133057
6317.2	1829.146484
6318	1836.625732
6318.8	1820.754761
6319.6	1819.942383
6320.4	1796.010132
6321.2	1857.96521
6322	1891.869629
6322.8	1858.377808
6323.6	1853.750366
6324.4	1871.88855
6325.2	1824.505005
6326	1874.876953
6326.8	1868.361694
6327.6	1890.760254
6328.4	1928.911987
6329.2	1886.317139
6330	1877.796631
6330.8	1914.025024
6331.6	1917.347168
6332.4	1922.560669
6333.2	1828.915649
6334	1883.292114
6334.8	1890.348267
6335.6	1916.102783
6336.4	1786.445068
6337.2	1846.946167
6338	1818.994385
6338.8	1842.320923
6339.6	1823.426025
6340.4	1834.46582
6341.2	1928.662476
6342	1874.873657
6342.8	1873.256714
6343.6	1890.801147
6344.4	1880.619507
6345.2	1847.680664
6346	1862.035034
6346.8	1822.824219
6347.6	1781.764771
6348.4	1818.716797
6349.2	1809.058228
6350	1876.345215
6350.8	1893.123901
6351.6	1856.636719
6352.4	1898.259888
6353.2	1942.891235
6354	1910.198975
6354.8	1901.769775
6355.6	1858.695312
6356.4	1854.32373
6357.2	1861.779175
6358	1926.876343
6358.8	1904.936279
6359.6	1892.784546
6360.4	1877.468506
6361.2	1934.040161
6362	1846.802612
6362.8	1888.40979
6363.6	1899.539429
6364.4	1831.473389
6365.2	1864.589233
6366	1854.121948
6366.8	1876.060303
