Stellar Spectroscopy and Classification - Mystery Star 1			
Note that the main hydrogen line at 6563 angstroms is showing both absorption and emission. hence it looks a bit strange. Expect questions from your class.			
Date of Observation:	31-07-2010		
Star Observed:	Ukendt stjerne 1		
Spectral Class:	B9		
			
Wavelength (A)	Intensity (Counts)		
6200.4	11216.216797		
6201.2	11090.577148		
6202	11260.985352		
6202.8	11067.680664		
6203.6	11135.134766		
6204.4	11272.382812		
6205.2	11258.94043		
6206	11211.069336		
6206.8	11226.161133		
6207.6	11177.631836		
6208.4	11163.171875		
6209.2	11164.19043		
6210	11328.543945		
6210.8	11369.735352		
6211.6	11211.538086		
6212.4	11361.107422		
6213.2	11441.053711		
6214	11467.484375		
6214.8	11232.720703		
6215.6	11163.986328		
6216.4	11443.500977		
6217.2	11505.517578		
6218	11313.228516		
6218.8	11399.882812		
6219.6	11500.516602		
6220.4	11501.509766		
6221.2	11615.791992		
6222	11442.874023		
6222.8	11409.722656		
6223.6	11482.283203		
6224.4	11539.44043		
6225.2	11565.30957		
6226	11428.699219		
6226.8	11370.191406		
6227.6	11240.456055		
6228.4	11356.288086		
6229.2	11672.43457		
6230	11431.057617		
6230.8	11395.557617		
6231.6	11505.149414		
6232.4	11549.532227		
6233.2	11515.813477		
6234	11825.291016		
6234.8	11556.362305		
6235.6	11426.30957		
6236.4	11539.001953		
6237.2	11406.90332		
6238	11274.498047		
6238.8	11398.842773		
6239.6	11598.871094		
6240.4	11493.757812		
6241.2	11432.773438		
6242	11624.418945		
6242.8	11573.806641		
6243.6	11532.073242		
6244.4	11353.939453		
6245.2	11647.514648		
6246	11572.123047		
6246.8	11486.545898		
6247.6	11612.449219		
6248.4	11847.992188		
6249.2	11472.929688		
6250	11485.995117		
6250.8	11591.71582		
6251.6	11554.566406		
6252.4	11565.326172		
6253.2	11419.085938		
6254	11585.638672		
6254.8	11483.317383		
6255.6	11547.803711		
6256.4	11638.352539		
6257.2	11483.473633		
6258	11623.814453		
6258.8	11796.143555		
6259.6	11596.177734		
6260.4	11492.759766		
6261.2	11605.250977		
6262	11581.671875		
6262.8	11598.798828		
6263.6	11488.056641		
6264.4	11371.047852		
6265.2	11632.629883		
6266	11748.016602		
6266.8	11625.9375		
6267.6	11494.34668		
6268.4	11476.583008		
6269.2	11518.635742		
6270	11350.248047		
6270.8	11533.658203		
6271.6	11470.12793		
6272.4	11655.953125		
6273.2	11383.416992		
6274	11592.271484		
6274.8	11798.739258		
6275.6	11742.772461		
6276.4	11540.053711		
6277.2	11225.094727		
6278	10885.796875		
6278.8	10800.665039		
6279.6	10763.829102		
6280.4	10898.837891		
6281.2	10892.987305		
6282	11122.314453		
6282.8	11334.516602		
6283.6	11096.448242		
6284.4	10950.59375		
6285.2	11014.459961		
6286	11366.675781		
6286.8	11456.072266		
6287.6	11371.359375		
6288.4	11479.288086		
6289.2	11250.992188		
6290	11050.567383		
6290.8	11233.798828		
6291.6	11233.929688		
6292.4	11339.255859		
6293.2	11206.280273		
6294	11320.050781		
6294.8	11663.726562		
6295.6	11389.258789		
6296.4	11392.555664		
6297.2	11166.875977		
6298	11355.203125		
6298.8	11259.397461		
6299.6	11185.326172		
6300.4	11238.089844		
6301.2	11295.821289		
6302	11351.742188		
6302.8	11359.865234		
6303.6	11423.158203		
6304.4	11581.306641		
6305.2	11697.213867		
6306	11607.050781		
6306.8	11416.324219		
6307.6	11561.607422		
6308.4	11507.844727		
6309.2	11413.168945		
6310	11441.636719		
6310.8	11467.80957		
6311.6	11411.581055		
6312.4	11683.370117		
6313.2	11365.416016		
6314	11429.983398		
6314.8	11529.751953		
6315.6	11453.594727		
6316.4	11494.610352		
6317.2	11491.842773		
6318	11508.591797		
6318.8	11594.685547		
6319.6	11346.102539		
6320.4	11385.983398		
6321.2	11396.421875		
6322	11286.904297		
6322.8	11325.118164		
6323.6	11258.375977		
6324.4	11632.185547		
6325.2	11309.244141		
6326	11330.863281		
6326.8	11488.678711		
6327.6	11470.107422		
6328.4	11570.858398		
6329.2	11488.981445		
6330	11415.730469		
6330.8	11531.638672		
6331.6	11632.036133		
6332.4	11616.990234		
6333.2	11596.977539		
6334	11585.209961		
6334.8	11531.786133		
6335.6	11505.814453		
6336.4	11685.537109		
6337.2	11542.981445		
6338	11501.716797		
6338.8	11392.59668		
6339.6	11506.171875		
6340.4	11477.958008		
6341.2	11707.802734		
6342	11285.8125		
6342.8	11320.211914		
6343.6	11297.700195		
6344.4	11287.236328		
6345.2	11253.014648		
6346	11266.623047		
6346.8	11221.370117		
6347.6	11188.607422		
6348.4	11422.673828		
6349.2	11429.841797		
6350	11418.21875		
6350.8	11774.354492		
6351.6	11618.1875		
6352.4	11464.661133		
6353.2	11297.905273		
6354	11418.492188		
6354.8	11580.864258		
6355.6	11383.568359		
6356.4	11306.103516		
6357.2	11488.095703		
6358	11462.360352		
6358.8	11423.207031		
6359.6	11461.000977		
6360.4	11527.120117		
6361.2	11672.319336		
6362	11590.194336		
6362.8	11331.236328		
6363.6	11444.076172		
6364.4	11510.075195		
6365.2	11817.939453		
6366	11517.270508		
6366.8	11557.206055		
6367.6	11510.443359		
6368.4	11283.546875		
6369.2	11341.758789		
6370	11494.21875		
6370.8	11535.316406		
6371.6	11311.887695		
6372.4	11526.961914		
6373.2	11562.043945		
6374	11373.902344		
6374.8	11552.241211		
6375.6	11351.916992		
6376.4	11587.142578		
6377.2	11566.803711		
6378	11451.542969		
6378.8	11687.541016		
6379.6	11482.807617		
6380.4	11455.18457		
6381.2	11501.963867		
6382	11501.862305		
6382.8	11824.148438		
6383.6	11638.424805		
6384.4	11414.693359		
6385.2	11432.178711		
6386	11288.629883		
6386.8	11568.679688		
6387.6	11528.260742		
6388.4	11458.214844		
6389.2	11440.182617		
6390	11455.246094		
6390.8	11536.068359		
6391.6	11533.685547		
6392.4	11366.480469		
6393.2	11642.59375		
6394	11527.480469		
6394.8	11367.003906		
6395.6	11298.662109		
6396.4	11487.209961		
6397.2	11628.832031		
6398	11619.551758		
6398.8	11768.53125		
6399.6	11503.416992		
6400.4	11577.621094		
6401.2	11502.119141		
6402	11437.27832		
6402.8	11409.577148		
6403.6	11461.913086		
6404.4	11344.561523		
6405.2	11361.366211		
6406	11408.614258		
6406.8	11395.467773		
6407.6	11423.066406		
6408.4	11329.417969		
6409.2	11552.985352		
6410	11330.383789		
6410.8	11458.083984		
6411.6	11649.838867		
6412.4	11753.922852		
6413.2	11719.442383		
6414	11689.776367		
6414.8	11662.047852		
6415.6	11486.474609		
6416.4	11554.81543		
6417.2	11686.515625		
6418	11462.949219		
6418.8	11672.769531		
6419.6	11570.837891		
6420.4	11547.991211		
6421.2	11353.431641		
6422	11498.516602		
6422.8	11406.041992		
6423.6	11257.756836		
6424.4	11393.243164		
