Stellar Spectroscopy and Classification - Mystery Star 2	
	
Date of Observation:	31-07-2010
Star Observed:	Ukendt stjerne 2
Spectral Class:	F8
	
Wavelength (A)	Intensity (Counts)
6200.4	10174.682617
6201.2	10192.305664
6202	10468.146484
6202.8	10242.407227
6203.6	10516.366211
6204.4	10628.859375
6205.2	10447.489258
6206	10542.131836
6206.8	10728.081055
6207.6	10720.65918
6208.4	10884.118164
6209.2	10594.056641
6210	10490.398438
6210.8	10596.415039
6211.6	10763.004883
6212.4	10504.219727
6213.2	10267.810547
6214	10328.5
6214.8	10270.073242
6215.6	10120.902344
6216.4	10344.469727
6217.2	10677.008789
6218	10650.958984
6218.8	10527.838867
6219.6	10263.149414
6220.4	10297.958008
6221.2	10440.575195
6222	10538.955078
6222.8	10524.808594
6223.6	10456.880859
6224.4	10515.555664
6225.2	10633.705078
6226	10685.295898
6226.8	10817.5625
6227.6	10584.884766
6228.4	10572.631836
6229.2	10379.969727
6230	10065.648438
6230.8	9952.154297
6231.6	10141.124023
6232.4	10342.948242
6233.2	10403.609375
6234	10363.311523
6234.8	10697.885742
6235.6	10728.469727
6236.4	10535.760742
6237.2	10378.019531
6238	10130.660156
6238.8	10139.09375
6239.6	10318.015625
6240.4	10258.03125
6241.2	10413.771484
6242	10622.077148
6242.8	10540.121094
6243.6	10530.023438
6244.4	10177.614258
6245.2	10127.966797
6246	9897.381836
6246.8	9985.009766
6247.6	10300.288086
6248.4	10428.915039
6249.2	10537.348633
6250	10660.741211
6250.8	10648.830078
6251.6	10541.345703
6252.4	10094.375977
6253.2	10040.74707
6254	10105.552734
6254.8	10065.242188
6255.6	10223.779297
6256.4	10445.416016
6257.2	10385.962891
6258	10303.175781
6258.8	10200.226562
6259.6	10196.620117
6260.4	10612.854492
6261.2	10687.225586
6262	10613.34082
6262.8	10634.412109
6263.6	10753.4375
6264.4	10586.483398
6265.2	10639.250977
6266	10841.395508
6266.8	11086.944336
6267.6	10783.94043
6268.4	10585.517578
6269.2	10450.581055
6270	10330.929688
6270.8	10373.206055
6271.6	10566.481445
6272.4	10611.835938
6273.2	10664.976562
6274	10894.530273
6274.8	10805.62207
6275.6	10691.417969
6276.4	10438.862305
6277.2	10160.944336
6278	10005.958984
6278.8	9844.683594
6279.6	9885.053711
6280.4	9858.125977
6281.2	10069.222656
6282	10131.166992
6282.8	10131.986328
6283.6	10235.483398
6284.4	10354.4375
6285.2	10413.155273
6286	10346.102539
6286.8	10334.006836
6287.6	10563.489258
6288.4	10711.548828
6289.2	10810.317383
6290	10657.299805
6290.8	10390.126953
6291.6	10392.293945
6292.4	10463.169922
6293.2	10506.939453
6294	10692.698242
6294.8	10646.695312
6295.6	10743.680664
6296.4	10561.398438
6297.2	10437.384766
6298	10264.469727
6298.8	10045.990234
6299.6	10366.875977
6300.4	10235.283203
6301.2	10110.010742
6302	9849.733398
6302.8	9962.333008
6303.6	10407.112305
6304.4	10764.801758
6305.2	10750.921875
6306	10559.385742
6306.8	10595.681641
6307.6	10572.56543
6308.4	10572.642578
6309.2	10517.652344
6310	10433.003906
6310.8	10407.951172
6311.6	10390.445312
6312.4	10734.03418
6313.2	10666.087891
6314	10473.762695
6314.8	10160.779297
6315.6	10220.707031
6316.4	10053.305664
6317.2	10343.071289
6318	10010.926758
6318.8	9997.322266
6319.6	10319.542969
6320.4	10582.935547
6321.2	10680.423828
6322	10452.62793
6322.8	10285.470703
6323.6	10314.958984
6324.4	10559.03125
6325.2	10702.638672
6326	10716.412109
6326.8	10645.704102
6327.6	10712.977539
6328.4	10680.292969
6329.2	10750.798828
6330	10858.635742
6330.8	10559.988281
6331.6	10532.446289
6332.4	10589.966797
6333.2	10926.543945
6334	10818.917969
6334.8	10671.212891
6335.6	10253.050781
6336.4	10167.575195
6337.2	10320.516602
6338	10586.679688
6338.8	10433.923828
6339.6	10603.491211
6340.4	10619.393555
6341.2	10655.022461
6342	10532.675781
6342.8	10629.456055
6343.6	10507.513672
6344.4	10262.139648
6345.2	10465.669922
6346	10444.080078
6346.8	10522.472656
6347.6	10249.755859
6348.4	10510.378906
6349.2	10651.055664
6350	10624.789062
6350.8	10720.425781
6351.6	10808.705078
6352.4	10764.322266
6353.2	10917.861328
6354	10687.90625
6354.8	10615.128906
6355.6	10532.802734
6356.4	10650.407227
6357.2	10846.494141
6358	10768.932617
6358.8	10478.836914
6359.6	10430.982422
6360.4	10536.149414
6361.2	10540.201172
6362	10521.84375
6362.8	10381.279297
6363.6	10437.730469
6364.4	10449.913086
6365.2	10381.318359
6366	10652.061523
6366.8	10709.121094
6367.6	10742.874023
6368.4	10794.96875
6369.2	10759.286133
6370	10906.413086
6370.8	10620.844727
6371.6	10486.249023
6372.4	10757.496094
6373.2	10910.018555
6374	10936.40918
6374.8	10848.740234
6375.6	11020.12793
6376.4	10993.133789
6377.2	11069.049805
6378	10915.431641
6378.8	10775.615234
6379.6	10828.326172
6380.4	10711.880859
6381.2	10688.25293
6382	11022.257812
6382.8	11178.730469
6383.6	11185.378906
6384.4	11280.112305
6385.2	11243.125
6386	10841.045898
6386.8	10870.483398
6387.6	11036.397461
6388.4	11080.423828
6389.2	11088.297852
6390	11030.164062
6390.8	11176.106445
6391.6	11089.849609
6392.4	10834.939453
6393.2	10553.592773
6394	10271.094727
6394.8	10454.038086
6395.6	10779.352539
6396.4	10709.277344
6397.2	10782.835938
6398	10966.453125
6398.8	10910.238281
6399.6	10429.697266
6400.4	10164.47168
6401.2	10525.474609
6402	10948.515625
6402.8	11108.175781
6403.6	11110.381836
6404.4	11242.205078
6405.2	11065.646484
6406	11088.473633
6406.8	10952.905273
6407.6	10503.226562
6408.4	10300.647461
6409.2	10572.600586
6410	10833.9375
6410.8	10684.397461
6411.6	10460.501953
6412.4	10428.146484
6413.2	10777.431641
6414	10807.972656
6414.8	10630.980469
6415.6	10494.21875
6416.4	10527.788086
6417.2	10684.154297
6418	10713.944336
6418.8	10818.557617
6419.6	10644.541016
